Serial,RAhour,RAminutes,RAseconds,RA,DECsign,DECdegrees,DECminutes,DECseconds,DEC,Vmag,PropermotionRA,PropermotionDEC
 127,00,31,33.6,0.526,-,62,57,57,-62.965833333333336, 4.54,+0.101,-0.056
 128,00,32,26.8,0.5407777777777778,+,43,29,41,43.49472222222222, 6.70,+0.018,-0.010
 129,00,33,19.3,0.5553611111111112,+,70,58,54,70.98166666666667, 6.42,+0.028,-0.004
 130,00,33,00.0,0.55,+,62,55,54,62.931666666666665, 4.16,+0.003,-0.003
 131,00,32,35.5,0.5431944444444444,+,20,17,40,20.294444444444444, 5.38,+0.135,-0.047
 132,00,32,23.8,0.5399444444444444,+,06,57,20,6.955555555555556, 5.67,+0.035,+0.002
 133,00,32,34.5,0.5429166666666667,+,27,34,50,27.580555555555556, 6.67,-0.017,-0.015
 134,00,32,49.1,0.5469722222222222,+,28,16,49,28.280277777777776, 6.30,-0.006,+0.007
 135,00,33,10.4,0.552888888888889,+,54,53,42,54.895, 5.93,+0.071,-0.042
 136,00,32,43.8,0.5455,-,63,01,52,-63.03111111111111, 5.09,+0.081,-0.038
 137,00,34,24.9,0.5735833333333333,+,66,45,01,66.75027777777778, 6.48,+0.021, 0.000
 138,00,33,41.1,0.5614166666666667,-,29,33,30,-29.558333333333334, 5.55,-0.026,-0.030
 139,00,33,23.3,0.5564722222222223,-,71,15,58,-71.26611111111112, 6.13,+0.067,-0.012
 140,00,34,27.8,0.5743888888888888,-,52,22,23,-52.37305555555555, 5.57,+0.230,+0.032
 141,00,34,55.3,0.5820277777777778,+,13,22,16,13.37111111111111, 6.40,-0.090,-0.057
 142,00,35,14.9,0.5874722222222223,-,03,35,34,-3.592777777777778, 5.20,+0.413,-0.026
 143,00,35,32.8,0.5924444444444444,-,00,30,20,-0.5055555555555555, 5.93,+0.146,-0.066
 144,00,36,08.3,0.6023055555555555,+,54,10,07,54.16861111111111, 5.08,+0.022, 0.000
 145,00,35,54.7,0.5985277777777778,+,13,12,24,13.206666666666667, 6.41,-0.143,-0.189
 146,00,36,27.3,0.6075833333333334,+,60,19,34,60.32611111111111, 5.79,-0.001,-0.003
 147,00,35,41.1,0.59475,-,48,00,03,-48.00083333333333, 5.51,+0.045,-0.104
 148,00,35,33.4,0.5926111111111112,-,54,49,19,-54.82194444444445, 6.06,+0.027,-0.054
 149,00,36,20.0,0.6055555555555555,+,27,15,17,27.254722222222224, 6.50,+0.011,-0.016
 150,00,36,03.0,0.6008333333333333,-,14,58,25,-14.973611111111111, 6.45,-0.083,-0.079
 151,00,36,06.9,0.6019166666666667,-,22,50,33,-22.8425, 6.06,-0.072,-0.052
 152,00,36,46.6,0.6129444444444444,+,44,29,19,44.48861111111111, 5.13,-0.023,+0.033
 153,00,36,58.3,0.6161944444444444,+,53,53,49,53.89694444444444, 3.66,+0.019,-0.009
 154,00,36,52.9,0.6146944444444444,+,33,43,10,33.71944444444444, 4.36,+0.015,-0.004
 155,00,36,47.3,0.6131388888888889,+,15,13,54,15.231666666666667, 5.89,+0.002,-0.015
 156,00,37,07.2,0.6186666666666667,+,24,00,51,24.014166666666668, 6.47,-0.014,-0.044
 157,00,37,21.1,0.6225277777777778,+,35,23,58,35.39944444444444, 5.48,-0.016,-0.005
 158,00,39,47.3,0.6631388888888889,+,82,29,38,82.49388888888889, 6.40,-0.111,+0.078
 159,00,37,20.7,0.6224166666666667,-,24,46,02,-24.767222222222223, 5.57,+1.390,-0.012
 160,00,36,37.4,0.6103888888888889,-,65,07,29,-65.12472222222222, 6.42,+0.029,-0.020
 161,00,37,30.5,0.6251388888888889,+,03,08,07,3.1352777777777776, 6.39,+0.095,-0.061
 162,00,37,18.1,0.6216944444444444,-,54,23,39,-54.39416666666666, 6.41,+0.056,-0.021
 163,00,38,33.3,0.6425833333333333,+,29,18,42,29.311666666666667, 4.37,-0.227,-0.254
 164,00,39,09.9,0.65275,+,49,21,16,49.35444444444445, 5.43,+0.008,-0.011
 165,00,39,19.7,0.6554722222222222,+,30,51,39,30.860833333333332, 3.27,+0.136,-0.091
 166,00,39,21.8,0.6560555555555556,+,21,15,02,21.250555555555554, 5.87,-0.464,-0.370
 167,00,39,55.6,0.6654444444444445,+,21,26,18,21.438333333333333, 5.36,+0.028,-0.035
 168,00,40,30.5,0.6751388888888888,+,56,32,14,56.53722222222222, 2.23,+0.053,-0.032
 169,00,38,40.8,0.6446666666666666,-,73,08,14,-73.13722222222222, 6.85,-0.017,+0.020
 170,00,39,57.9,0.6660833333333334,-,33,57,42,-33.961666666666666, 6.69,+0.333,-0.116
 171,00,39,52.0,0.6644444444444445,-,44,47,48,-44.79666666666667, 6.01,+0.045, 0.000
 172,00,40,28.6,0.674611111111111,-,16,31,01,-16.516944444444444, 6.49,+0.037,-0.040
 173,00,40,32.9,0.6758055555555555,-,23,48,16,-23.804444444444446, 6.14,+0.644,-0.333
 174,00,40,42.4,0.6784444444444444,-,04,21,07,-4.351944444444444, 5.91,-0.013,-0.013
 175,00,41,07.2,0.6853333333333333,+,39,27,31,39.45861111111111, 5.33,-0.010,-0.007
 176,00,40,26.4,0.6739999999999999,-,59,27,16,-59.45444444444445, 5.89,+0.889,+0.448
 177,00,42,03.4,0.7009444444444444,+,66,08,51,66.1475, 5.83,-0.013,-0.009
 178,00,41,36.0,0.6933333333333334,+,24,37,45,24.629166666666666, 6.04,+0.107,-0.016
 179,00,42,03.9,0.7010833333333333,+,50,30,45,50.5125, 4.80,+0.015,-0.005
 180,00,41,19.6,0.6887777777777778,-,46,05,06,-46.085, 4.59,-0.014,-0.002
 181,00,42,31.1,0.7086388888888888,+,58,45,12,58.75333333333333, 6.17,+0.036,-0.007
 182,  ,  ,    ,0.0, ,  ,  ,  ,-0.0,0      ,      
 183,00,41,46.4,0.6962222222222222,-,56,30,06,-56.501666666666665, 5.70,+0.085,+0.044
 184,00,43,28.1,0.7244722222222222,+,47,01,29,47.02472222222222, 4.94,-0.020,-0.034
 185,00,42,42.9,0.7119166666666666,-,38,27,48,-38.46333333333333, 6.06,+0.003,-0.005
 186,00,42,41.8,0.7116111111111111,-,60,15,45,-60.2625, 5.98,+0.255,-0.045
 187,00,42,28.4,0.7078888888888888,-,65,28,05,-65.46805555555555, 5.39,+0.053,+0.042
 188,00,43,35.4,0.7265,-,17,59,12,-17.986666666666668, 2.04,+0.234,+0.033
 189,00,44,26.4,0.7406666666666666,+,47,51,51,47.86416666666667, 5.67,-0.026,+0.015
 190,00,43,50.2,0.7306111111111111,-,12,00,42,-12.011666666666667, 6.02,+0.007,-0.204
 191,00,43,21.2,0.7225555555555556,-,57,27,47,-57.463055555555556, 4.36,-0.006,+0.011
 192,00,45,39.0,0.7608333333333334,+,74,59,17,74.98805555555556, 5.66,-0.018,-0.026
 193,00,44,43.5,0.7454166666666666,+,48,17,04,48.284444444444446, 4.54,+0.019,-0.008
 194,00,44,11.4,0.7364999999999999,-,10,36,34,-10.609444444444444, 4.76,-0.009,-0.113
 195,00,44,12.1,0.7366944444444444,-,38,25,18,-38.42166666666667, 5.90,+0.244,+0.113
 196,00,45,17.2,0.7547777777777778,+,55,13,18,55.221666666666664, 5.42,-0.025,+0.002
 197,00,44,44.4,0.7456666666666666,-,22,00,22,-22.00611111111111, 5.24,-0.066,+0.083
